;Part;Value;Device;Package;Description;BUERKLIN;CONRAD;EBAY;MF;MPN;OC_FARNELL;OC_NEWARK;TSOP34836
x;1RF;SMA-2WIRE_PCB-MOUNTING;SMA-2WIRE_PCB-MOUNTING;J01151A0931;SMA 50 Ohm Straight Jack Receptacle - PCB Mountung;76F410;;SMA Female PCB Edge;;;;;
x;1_RFM69;RFM69_MINIPADS;RFM69_MINIPADS;RFM69W-MINPADS;;;;;;;;;
x;2RF;SMA-2WIRE_PCB-MOUNTING;SMA-2WIRE_PCB-MOUNTING;J01151A0931;SMA 50 Ohm Straight Jack Receptacle - PCB Mountung;76F410;;SMA Female PCB Edge;;;;;
x;2_RFM69;RFM69_MINIPADS;RFM69_MINIPADS;RFM69W-MINPADS;;;;;;;;;
x;3RF;SMA-2WIRE_PCB-MOUNTING;SMA-2WIRE_PCB-MOUNTING;J01151A0931;SMA 50 Ohm Straight Jack Receptacle - PCB Mountung;76F410;;SMA Female PCB Edge;;;;;
x;3V3;;SJ2W;SJ_2;SMD solder JUMPER;;;;;;;;
x;3_RFM69;RFM69_MINIPADS;RFM69_MINIPADS;RFM69W-MINPADS;;;;;;;;;
x;5V;;SJ2W;SJ_2;SMD solder JUMPER;;;;;;;;
x;ATMEGA328P;ATMega-328;ATMEGA168/328TQFP32;TQFP32-08;Atmel 32-pin 8-bit micro, 16k flash.;64 S 3046;155196 - 62;;;;;;
x;BC817-40;;BC817-40-NPN-SOT23-BEC;SOT23-BEC;NPN Transistror;12S6220;;;;;;;
x;BC817-40_2;;BC817-40-NPN-SOT23-BEC;SOT23-BEC;NPN Transistror;12S6220;;;;;;;
x;C1;4,7u;CAP0603-CAP;0603-CAP;Capacitor;53 D 1659;;;;;;;
x;C2;10u;CAP0603-CAP;0603-CAP;Capacitor;53 D 1652;;;;;;;
x;C3;0.1u;CAP0603-CAP;0603-CAP;Capacitor;53 D 1726;;;;;;;
x;C4;1u;CAP0603-CAP;0603-CAP;Capacitor;53D1660;;;;;;;
buerklin;C5;0.1u;CAP0603-CAP;0603-CAP;Capacitor;53 D 1726;;;;;;;
x;C6;0.1u;CAP0603-CAP;0603-CAP;Capacitor;53 D 1726;;;;;;;
x;C7;22p;CAP0603-CAP;0603-CAP;Capacitor;53 D 1676;;;;;;;
x;C8;22p;CAP0603-CAP;0603-CAP;Capacitor;53 D 1676;;;;;;;
x;C9;0.1u;CAP0603-CAP;0603-CAP;Capacitor;53 D 1726;;;;;;;
x;C10;0.1u;CAP0603-CAP;0603-CAP;Capacitor;53 D 1726;;;;;;;
x;C11;0.1u;CAP0603-CAP;0603-CAP;Capacitor;53 D 1726;;;;;;;
x;C100;4,7u;CAP0603-CAP;0603-CAP;Capacitor;53 D 1659;;;;;;;
buerklin;D1;BAT54;BAT54;SOT23;Schottky Diodes;10S7581;;;;;;;
x;FRONT-IR;;SJ;SJ;SMD solder JUMPER;;;;;;;;
x;FRONT-IR1;;SJ;SJ;SMD solder JUMPER;;;;;;;;
buerklin;FTDI;FTDI;MA06-1;MA06-1;PIN HEADER;59 F 2134;;;;;;;
buerklin;IC1;BME280;BME280;BME280;DIGITAL HUMIDITY, PRESSURE AND TEMPERATURE SENSOR* Digital interface I²C (up to 3.4 MHz) and SPI (3 and 4 wire, up to 10 MHz)* Supply voltage VDD main supply voltage range: 1.71 V to 3.6 V*VDDIO interface voltage range: 1.2 V to 3.6 V;65 S 100;;;;;;;
x;IR-RX;TSOP4836;TSOP4836;TSOP18XX;IR Receiver and Demodulator;;171107-62;TSOP34836;;;;;
x;IR-TX;1503_13;1503_13;1503-03;;39F1215;;;;;;;
x;IR/LED;;JP1E;JP1;JUMPER;;;;;;;;
x;ISP;AVRISP-6;AVRISP-6;AVRISP;AVR ISP HEADER;56F6228;737480 - 62;;;;;;
x;LDR;GL5537;M9960_11A;M9960;Photo Sensor Beacon Light, Photometer Applications;;;GL5537;;;;;
x;LED;;SJ;SJ;SMD solder JUMPER;;;;;;;;
auslöten;MCP1703;LINEAR_MCP1703CB;LINEAR_MCP1703CB;LINEAR_SOT23;250 mA, 16V, Low Quiescent Current LDO Regulator;41 S 7654;651422-62;;;;;;
buerklin;PIEZO;BUZZER-PIEZO_SMD;BUZZER-PIEZO_SMD;BUZZER-PIEZO_SMD;Piezoelectric Acoustic Transducer;36 M 370;;;;;;;
x;Q1;16MHz;CRYSTALHC49S;HC49/S;CRYSTAL;78D428;;;;;1667008;unknown;
x;R1;10k;RESISTOR0603-RES;0603-RES;Resistor;26 E 816;;;;;;;
x;R2;100;RESISTOR0603-RES;0603-RES;Resistor;26 E 768;;;;;;;
x;R3;33;RESISTOR0603-RES;0603-RES;Resistor;26 E 756;;;;;;;
x;R4;10K;RESISTOR0603-RES;0603-RES;Resistor;26 E 816;;;;;;;
x;R5;10K;RESISTOR0603-RES;0603-RES;Resistor;26 E 816;;;;;;;
x;R6;10K;RESISTOR0603-RES;0603-RES;Resistor;26 E 816;;;;;;;
x;R7;270;RESISTOR0603-RES;0603-RES;Resistor;26 E 778;;;;;;;
buerklin;R8;301k;RESISTOR0603-RES;0603-RES;Resistor;26 E 7197;;;;;;;
x;R9;10k;RESISTOR0603-RES;0603-RES;Resistor;26 E 816;;;;;;;
x;R10;10k;RESISTOR0603-RES;0603-RES;Resistor;26 E 816;;;;;;;
x;R100;33;RESISTOR0603-RES;0603-RES;Resistor;26 E 756;;;;;;;
x;R101;1k;RESISTOR0603-RES;0603-RES;Resistor;26 E 792;;;;;;;
x;R103;1k;RESISTOR0603-RES;0603-RES;Resistor;26 E 792;;;;;;;
x;U$1;RFM12B_ANTENNA;RFM12B_ANTENNA;RFM12B-ANTENNA;;;;;;;;;
x;U$2;RFM12B_ANTENNA;RFM12B_ANTENNA;RFM12B-ANTENNA;;;;;;;;;
x;U$5;RFM12B_ANTENNA;RFM12B_ANTENNA;RFM12B-ANTENNA;;;;;;;;;
x;U$6;RadioGateway;BEAGLEBONE_OUTLINE;BEAGLEBONE_SHIELD;Should match A3 pinout - but not completely tested;;393509 - 62;;;;;;
