Part,Value,Device,Package,Description,BUERKLIN,CONRAD,EBAY,MF,MPN,OC_FARNELL,OC_NEWARK
ANALOGSIDE,M13,M13,1X13,"13-pin single row .1"" header",59 F 2140,,,,,,
DIGITALSIDE,M13,M13,1X13,"13-pin single row .1"" header",59 F 2140,,,,,,
IC2,ULN2003V12DR,ULN2003AD,SO16,DRIVER ARRAY,,1187534 - 62,,,,,
K1,TQ2-L2-,TQ2-L2-,TQ2,LOW PROFILE 2 FORM C RELAY NAiS,30 G 7570,,,AROMAT/ MATSUSHITA,TQ2-L2-3V,1217662,64K3196
LDR,GL5537,M9960_11A,M9960,"Photo Sensor Beacon Light, Photometer Applications",,,GL5537,,,,
R1,1k5,RESISTOR0603-RES,0603-RES,Resistor,26 E 796,,,,,,
R3,33,RESISTOR0603-RES,0603-RES,Resistor,26 E 756,,,,,,
R8,301k,RESISTOR0603-RES,0603-RES,Resistor,26 E 7197,,,,,,
RELAY_SUPPLY,,SJ2WW,SJ_2W,SMD solder JUMPER,,,,,,,
RELAY_SUPPLY1,,SJ2WW,SJ_2W,SMD solder JUMPER,,,,,,,
RELAY_SUPPLY2,,SJ2WW,SJ_2W,SMD solder JUMPER,,,,,,,
SJ1,,SJW,SJW,SMD solder JUMPER,,,,,,,
SJ2,,SJW,SJW,SMD solder JUMPER,,,,,,,
SJ3,,SJW,SJW,SMD solder JUMPER,,,,,,,
SJ4,,SJW,SJW,SMD solder JUMPER,,,,,,,
U$1,HDR_3PINLUMBERG_KRMC,HDR_3PINLUMBERG_KRMC,"1X03_LUMBERG-KRMC_3,5MM",,08 H 602,,,,,,
U$2,HDR_3PINLUMBERG_KRMC,HDR_3PINLUMBERG_KRMC,"1X03_LUMBERG-KRMC_3,5MM",,08 H 602,,,,,,
U$3,HDR_2PIN,HDR_2PIN,1X02_NS,,,,,,,,
U$4,HDR_2PIN,HDR_2PIN,1X02_NS,,,,,,,,
