,Part,Value,Device,Package,Description,BUERKLIN,BUERKLIN_2,BUERKLIN_5A,BUERKLIN_10A,CONRAD,EBAY,MF,MPN,OC_FARNELL,OC_NEWARK
5 conrad,ATMEGA328,ATMega-328,ATMEGA168/328TQFP32,TQFP32-08,"Atmel 32-pin 8-bit micro, 16k flash.",64 S 4010,,,,155196 - 62,,,,,
vorrätig,BC817-1,,BC817-40-NPN-SOT23-BEC,SOT23-BEC,NPN Transistror,12S6220,,,,,,,,,
vorrätig,BC817-40,,BC817-40-NPN-SOT23-BEC,SOT23-BEC,NPN Transistror,12S6220,,,,,,,,,
vorrätig,BME280,"CONNECTORS_M4""","CONNECTORS_M4""",CONNECTORS_1X4,"13-pin single row .1"" header",,,,,,,,,,
20 buerklin,C1,0.1,CAP0603-CAP,0603-CAP,Capacitor,53 D 1726,,,,,,,,,
vorrätig,C2,1u,CAP0603-CAP,0603-CAP,Capacitor,53D2083,,,,,,,,,
vorrätig,C4,0.1,CAP0603-CAP,0603-CAP,Capacitor,53 D 1726,,,,,,,,,
vorrätig,C5,0.1,CAP0603-CAP,0603-CAP,Capacitor,53 D 1726,,,,,,,,,
vorrätig,C6,0.1,CAP0603-CAP,0603-CAP,Capacitor,53 D 1726,,,,,,,,,
vorrätig,C7,0.1,CAP0603-CAP,0603-CAP,Capacitor,53 D 1726,,,,,,,,,
vorrätig,C8,0.1,CAP0603-CAP,0603-CAP,Capacitor,53 D 1726,,,,,,,,,
vorrätig,C9,10u,CAP0805-CAP,0805-CAP,Capacitor,53 D 2432,,,,,,,,,
10 buerklin,D1,1N4148W,DIODE-SOD123,SOD123,DIODE,26S8142,,,,,,,,,
3 buerklin,DIRECTION,PANASONIC_JQ-RELAY,PANASONIC_JQ-RELAY,JQ1,Power relay,,,31G1042,31G1062,,,,,,
5 amazon,F2,250V - 2A,TE5,TE5,FUSE,,,,,,,,,unknown,unknown
2 ebay,HKLP1,HKLPM01,HKLPM01,HKLPM01,,,,,,,,,,,
5 conrad,IC3,MCP1703CB,MCP1703CB,SOT23,"250 mA, 16V, Low Quiescent Current LDO Regulator",,,,,651422-62,,,,,
0,ISP1,AVRISP,AVRISP,AVRISP-EDGE,AVR ISP HEADER,56F6228,,,,737480-62,,,,,
0,JP2,CONNECTORS_M3,CONNECTORS_M3,CONNECTORS_1X3,"13-pin single row .1"" header",,,,,,,,,,
5 amazon,LDR1,GL5537,M9960_11A,M9960,"Photo Sensor Beacon Light, Photometer Applications",,,,,,GL5537,,,,
5 buerklin,LED,,LED3MM,LED3MM,LED,66 S 9392,,,,,,,,,
vorrätig,R1,10k,RESISTOR0603-RES,0603-RES,Resistor,26 E 816,,,,,,,,,
vorrätig,R2,1k5,RESISTOR0603-RES,0603-RES,Resistor,26 E 796,,,,,,,,,
4 buerklin,R4,VARISTOR-S07K275,VARISTOR-S07K275,S07K275,VARISTOR,82E2252,,,,,,,,,
-,R5,VARISTOR-S07K275,VARISTOR-S07K275,S07K275,VARISTOR,82E2252,,,,,,,,,
vorrätig,R6,10k,RESISTOR0603-RES,0603-RES,Resistor,26 E 816,,,,,,,,,
vorrätig,R7,10k,RESISTOR0603-RES,0603-RES,Resistor,26 E 816,,,,,,,,,
vorrätig,R9,4k7,RESISTOR0603-RES,0603-RES,Resistor,26 E 808,,,,,,,,,
vorrätig,R10,301k,RESISTOR0603-RES,0603-RES,Resistor,26 E 7197,,,,,,,,,
vorrätig,R103,4k7,RESISTOR0603-RES,0603-RES,Resistor,26 E 808,,,,,,,,,
vorrätig,S1,REED-SWITCH-,REED-SWITCH-,REED_15X2MM,Reed Sensor,,,,,,,,,,
vorrätig,S2,REED-SWITCH-,REED-SWITCH-,REED_15X2MM,Reed Sensor,,,,,,,,,,
5 buerklin + 5 Kappen Conrad 705141 – 62,S3,,TASTER_SMD,TASTER-1254_SMD,,13 G 4463,13 G 4462,,,,,,,,
vorrätig,SUPPLY_SSR,OMRON-G3MB-202P-SSR,OMRON-G3MB-202P-SSR,OMRON-G3MB-202P-SSR,"IT(rms) 8A, Zero Cross type SIP 4pin Triac output SSR",,,,,,,,,,
3 buerklin,TEMP-FUSE,,FUSESW-102T,TEMP-FUSE,LITTLEFUSE,30G4800,,,,,,,,,
0,U$1,RFM12B_ANTENNA,RFM12B_ANTENNA,RFM12B-ANTENNA,,,,,,,,,,,
0,U$2,HDR_2PIN,HDR_2PIN,1X02_NS,,,,,,,,,,,
0,U$5,RFM69_MINIPADS,RFM69_MINIPADS,RFM69W-MINPADS,,,,,,,,,,,
3 buerklin,X2,"PHOENIX-PT1,5/3-3,5H","PHOENIX-PT1,5/3-3,5H",1984620,"MKDS 1/ 3-3,5 Printklemme",09H2301,,,,,,,,,
3 buerklin,X3,"PHOENIX-PT1,5/4-3,5H","PHOENIX-PT1,5/4-3,5H",1984633,"MKDS 1/ 3-3,5 Printklemme",09H2302,,,,,,,,,
