"Part";"Value";"Device";"Package";"Description";"BUERKLIN";"BUERKLIN_3V";"CONRAD";"DIGIKEY";"EBAY";"PROD_ID";"TSOP34836";
"ANALOGSIDE";"M13";"M13";"1X13";"13-pin single row .1" header";"59 F 2140";"";"";"";"";"";"";
"BC817-40";"";"BC817-40-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"12S6220";"";"";"";"";"";"";
"BURDEN";"R150 0.1%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"28 E 114";"";"";"";"";"";"";
"C2";"10u";"CAP0805-CAP";"0805-CAP";"Capacitor";"53 D 2432";"";"";"";"";"";"";
"C3";"4,7u";"CAP0805-CAP";"0805-CAP";"Capacitor";"53 D 2431";"";"";"";"";"";"";
"C105";"0,1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1726";"";"";"";"";"";"";
"CT1";"1503_13";"1503_13";"1503-03";"";"39F1215";"";"";"";"";"";"";
"DIGITALSIDE";"M13";"M13";"1X13";"13-pin single row .1" header";"59 F 2140";"";"";"";"";"";"";
"IR-RX";"TSOP4836";"TSOP4836";"TSOP18XX";"IR Receiver and Demodulator";"";"";"171107-62";"";"TSOP34836";"";"";
"J1";"";"JST_2MM_MALE";"JST-2-SMD";"Mates to single-cell LiPo batteries.";"71 F 5386";"";"1217299 - 62";"";"";"S2B-PH-SM4-TB";"";
"JP1";"CONNECTORS_M4""";"CONNECTORS_M4""";"CONNECTORS_1X4";"13-pin single row .1" header";"";"";"";"";"";"";"";
"LDR";"GL5537";"M9960_11A";"M9960";"Photo Sensor Beacon Light, Photometer Applications";"";"";"";"";"GL5537";"";"";
"PIEZO";"BUZZER-PIEZO_SMD";"BUZZER-PIEZO_SMD";"BUZZER-PIEZO_SMD";"Piezoelectric Acoustic Transducer";"36 M 370";"36 M 346";"";"";"";"";"";
"R1";"100k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 840";"";"";"";"";"";"";
"R2";"470k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 856";"";"";"";"";"";"";
"R3";"100";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 768";"";"";"";"";"";"";
"R4";"33";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 756";"";"";"";"";"";"";
"R5";"470k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 856";"";"";"";"";"";"";
"R6";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";"";"";"";"";"";"";
"R7";"1M";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 864";"";"";"";"";"";"";
"R8";"301k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 7197";"";"";"";"";"";"";
"R103";"1k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 792";"";"";"";"";"";"";
"R104";"470k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 856";"";"";"";"";"";"";
"U$1";"EKMB1X011X";"EKMB1X011X";"PIR-PANASONIC-VZ-WL-STANDARD";"";"";"";"";"255-3065-ND";"";"";"";
